,id,release_date,movie,production_budget,domestic_gross_x,worldwide_gross,date,year,t1,t2,score,title,studio,domestic_gross_y,foreign_gross,world_gross,dg_diff
187,73,21-Sep-12,House at the End of the Street,6900000,31611916,44103982,9/21/12,2012,House at the End of the Street,House at the End of The Street,0.033333333,House at the End of The Street,Rela.,31600000,12700000,44300000,11916
64,78,25-Dec-12,Les Miserables,65000000,148809770,442169052,12/25/12,2012,Les Miserables,Les Miserables (2012),0.333333333,Les Miserables (2012),Uni.,148800000,293000000,441800000,9770
192,53,16-Mar-12,Casa de mi Padre,6000000,5909483,8446952,3/16/12,2012,Casa de mi Padre,Casa De Mi Padre,0.125,Casa De Mi Padre,LGF,5900000,2100000,8000000,9483
151,80,17-Sep-10,Alpha and Omega 3D,20000000,25107267,48958353,9/17/10,2010,Alpha and Omega 3D,Alpha and Omega,0.166666667,Alpha and Omega,LGF,25100000,25400000,50500000,7267
147,9,21-Oct-16,Tyler Perryâs Boo! A Madea Halloween,20000000,73206343,73206343,10/21/16,2016,Tyler Perryâs Boo! A Madea Halloween,Boo! A Madea Halloween,0.421052632,Boo! A Madea Halloween,LGF,73200000,1600000,74800000,6343
87,33,6-Feb-14,The Interview,44000000,6105175,12342632,2/6/14,2014,The Interview,The Interview (2014),0.35,The Interview (2014),Sony,6100000,5200000,11300000,5175
207,18,14-Sep-12,Barfi,4600000,2804874,36751984,9/14/12,2012,Barfi,Barfi!,0.166666667,Barfi!,UTV,2800000,,,4874
26,68,8-Aug-14,Teenage Mutant Ninja Turtles,125000000,191204754,485004754,8/8/14,2014,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (2014),0.2,Teenage Mutant Ninja Turtles (2014),Par.,191200000,302100000,493300000,4754
77,27,25-Jan-13,Hansel & Gretel: Witch Hunters,50000000,55703475,214949716,1/25/13,2013,Hansel & Gretel: Witch Hunters,Hansel and Gretel: Witch Hunters,0.09375,Hansel and Gretel: Witch Hunters,Par.,55700000,170600000,226300000,3475
109,82,31-Jul-15,The Young and Prodigious T.S. Spivet,33000000,176847,357687,7/31/15,2015,The Young and Prodigious T.S. Spivet,The Young & Prodigious T.S. Spivet,0.083333333,The Young & Prodigious T.S. Spivet,Wein.,174000,9300000,9474000,2847
199,83,5-Jul-13,The Way Way Back,5000000,21502690,26853810,7/5/13,2013,The Way Way Back,"The Way, Way Back",0.058823529,"The Way, Way Back",FoxS,21500000,1700000,23200000,2690
127,78,30-Oct-15,Our Brand is Crisis,28000000,7002261,8594558,10/30/15,2015,Our Brand is Crisis,Our Brand Is Crisis (2015),0.307692308,Our Brand Is Crisis (2015),WB,7000000,,,2261
81,40,8-Aug-14,Into the Storm,50000000,47602194,150429371,8/8/14,2014,Into the Storm,Into The Storm,0.071428571,Into The Storm,WB (NL),47600000,114100000,161700000,2194
13,97,15-Apr-16,The Jungle Book,175000000,364001123,962854547,4/15/16,2016,The Jungle Book,The Jungle Book (2016),0.318181818,The Jungle Book (2016),BV,364000000,602500000,966500000,1123
193,82,2-Apr-10,The Greatest,6000000,115862,117796,4/2/10,2010,The Greatest,The Greatest (2010),0.368421053,The Greatest (2010),Pala.,115000,359000,474000,862
78,28,18-Feb-11,I am Number Four,50000000,55100437,146195159,2/18/11,2011,I am Number Four,I Am Number Four,0.0625,I Am Number Four,BV,55100000,94800000,149900000,437
215,44,2-Mar-12,Tim and Eric's Billion Dollar Movie,3000000,201436,223652,3/2/12,2012,Tim and Eric's Billion Dollar Movie,Tim & Eric's Billion Dollar Movie,0.085714286,Tim & Eric's Billion Dollar Movie,Magn.,201000,,,436
214,33,6-May-11,Hobo with a Shotgun,3000000,703372,834953,5/6/11,2011,Hobo with a Shotgun,Hobo With a Shotgun,0.052631579,Hobo With a Shotgun,Magn.,703000,,,372
212,39,30-Jan-15,"Guten Tag, Ramon",4000000,154356,4854356,1/30/15,2015,"Guten Tag, Ramon","Buen Dia, Ramon",0.3125,"Buen Dia, Ramon",FIP,154000,4500000,4654000,356
185,70,13-Apr-18,Borg vs McEnroe,7500000,231346,3257922,4/13/18,2018,Borg vs McEnroe,Borg vs. McEnroe,0.0625,Borg vs. McEnroe,Neon,231000,,,346
179,69,30-Mar-16,Everybody Wants Some,10000000,3400278,5437126,3/30/16,2016,Everybody Wants Some,Everybody Wants Some!!,0.090909091,Everybody Wants Some!!,Par.,3400000,,,278
70,43,14-Feb-14,Winterâs Tale,60000000,12600231,29575033,2/14/14,2014,Winterâs Tale,Winter's Tale,0.2,Winter's Tale,WB,12600000,18500000,31100000,231
112,9,6-Aug-10,Step Up 3D,30000000,42400223,165889117,8/6/10,2010,Step Up 3D,Step Up 3-D,0.090909091,Step Up 3-D,BV,42400000,116900000,159300000,223
136,53,24-Mar-17,CHiPS,25000000,18600152,23190292,3/24/17,2017,CHiPS,CHiPs,0.2,CHiPs,WB,18600000,8199999,26799999,152
38,57,23-May-13,The Hangover 3,103000000,112200072,362000072,5/23/13,2013,The Hangover 3,The Hangover Part III,0.380952381,The Hangover Part III,WB,112200000,249800000,362000000,72
