,id_x,release_date_x,movie,production_budget,domestic_gross,worldwide_gross,date_x,year,t1,t2,score,Unnamed: 0,genre_ids,id_y,original_language,original_title,popularity,release_date_y,title,vote_average,vote_count,date_y
65,36,"Dec 25, 2017",Mollyâs Game,"$30,000,000","$28,780,744","$53,296,424",2017-12-25,2017,Mollyâs Game,Molly's Game,0.21428571428571427,23990,"[80, 18]",396371,en,Molly's Game,14.64,2017-12-25,Molly's Game,7.1,1724,2017-12-25
66,63,"Jun 4, 2010",Splice,"$30,000,000","$17,010,170","$28,542,494",2010-06-04,2010,Splice,Slice,0.16666666666666666,1042,"[28, 80, 18, 27, 53]",57309,fr,เฉือน,1.479,2010-07-16,Slice,6.4,16,2010-07-16
67,79,"Apr 29, 2011",Hoodwinked Too: Hood vs. Evil,"$30,000,000","$10,143,779","$23,353,111",2011-04-29,2011,Hoodwinked Too: Hood vs. Evil,Hoodwinked Too! Hood VS. Evil,0.10344827586206896,2839,"[35, 16, 10751]",57089,en,Hoodwinked Too! Hood VS. Evil,6.906000000000001,2011-04-29,Hoodwinked Too! Hood VS. Evil,5.0,257,2011-04-29
68,78,"Oct 30, 2015",Our Brand is Crisis,"$28,000,000","$7,002,261","$8,594,558",2015-10-30,2015,Our Brand is Crisis,Our Brand Is Crisis,0.05263157894736842,14415,"[35, 18]",10317,en,Our Brand Is Crisis,8.304,2015-10-30,Our Brand Is Crisis,5.9,306,2015-10-30
69,78,"Oct 30, 2015",Our Brand is Crisis,"$28,000,000","$7,002,261","$8,594,558",2015-10-30,2015,Our Brand is Crisis,Our Brand Is Crisis,0.05263157894736842,17692,"[35, 18]",10317,en,Our Brand Is Crisis,8.304,2015-10-30,Our Brand Is Crisis,5.9,306,2015-10-30
70,19,"Nov 23, 2016",Rules Donât Apply,"$26,700,000","$3,652,206","$3,871,448",2016-11-23,2016,Rules Donât Apply,Rules Don't Apply,0.15789473684210525,17848,"[10749, 35, 18]",291328,en,Rules Don't Apply,6.769,2016-11-23,Rules Don't Apply,5.9,245,2016-11-23
71,31,"Dec 9, 2011",New Yearâs Eve,"$26,000,000","$54,544,638","$146,850,273",2011-12-09,2011,New Yearâs Eve,New Year's Eve,0.1875,2591,"[35, 10749]",62838,en,New Year's Eve,11.138,2011-12-09,New Year's Eve,5.8,1301,2011-12-09
72,48,"Jul 10, 2015",Self/Less,"$26,000,000","$12,279,691","$33,667,319",2015-07-10,2015,Self/Less,Self/less,0.1111111111111111,14204,"[878, 9648, 53]",238615,en,Self/less,19.131,2015-07-10,Self/less,6.3,1815,2015-07-10
73,86,"Jan 27, 2017",A Dogâs Purpose,"$25,000,000","$64,321,890","$203,671,625",2017-01-27,2017,A Dogâs Purpose,A Dog's Purpose,0.17647058823529413,20869,"[35, 18, 10751, 14]",381289,en,A Dog's Purpose,9.854,2017-01-27,A Dog's Purpose,7.2,1484,2017-01-27
74,27,"Apr 29, 2016",Motherâs Day,"$25,000,000","$32,492,859","$52,367,022",2016-04-29,2016,Motherâs Day,Mother's Day,0.21428571428571427,17841,"[35, 18, 10749]",353069,en,Mother's Day,6.822,2016-04-29,Mother's Day,5.9,782,2016-04-29
75,51,"Aug 5, 2015",Shaun the Sheep,"$25,000,000","$19,375,982","$101,925,161",2015-08-05,2015,Shaun the Sheep,Shaun the Sheep Movie,0.2857142857142857,14267,"[10751, 16, 35, 12]",263109,en,Shaun the Sheep Movie,12.555,2015-08-05,Shaun the Sheep Movie,6.9,713,2015-08-05
76,73,"Sep 22, 2017",Victoria and Abdul,"$21,000,000","$22,245,070","$68,271,146",2017-09-22,2017,Victoria and Abdul,Victoria & Abdul,0.16666666666666666,20816,"[18, 36]",423899,en,Victoria & Abdul,10.918,2017-09-22,Victoria & Abdul,6.9,595,2017-09-22
77,53,"Nov 4, 2011",A Very Harold & Kumar 3D Christmas,"$20,000,000","$35,061,031","$36,265,745",2011-11-04,2011,A Very Harold & Kumar 3D Christmas,A Very Harold & Kumar Christmas,0.08823529411764706,2627,[35],55465,en,A Very Harold & Kumar Christmas,10.123,2011-11-04,A Very Harold & Kumar Christmas,6.0,496,2011-11-04
78,57,"Sep 19, 2014",This is Where I Leave You,"$20,000,000","$34,296,320","$41,296,320",2014-09-19,2014,This is Where I Leave You,This Is Where I Leave You,0.04,11191,"[18, 35]",239678,en,This Is Where I Leave You,9.681000000000001,2014-09-19,This Is Where I Leave You,6.6,695,2014-09-19
79,61,"Apr 12, 2013",Scary Movie V,"$20,000,000","$32,015,787","$78,613,981",2013-04-12,2013,Scary Movie V,Scary Movie 5,0.07692307692307693,7913,[35],4258,en,Scary Movie 5,16.316,2013-04-12,Scary Movie 5,4.7,1494,2013-04-12
80,80,"Sep 17, 2010",Alpha and Omega 3D,"$20,000,000","$25,107,267","$48,958,353",2010-09-17,2010,Alpha and Omega 3D,Alpha and Omega,0.16666666666666666,234,"[16, 10751, 35, 12, 10749]",12819,en,Alpha and Omega,8.107999999999999,2010-09-17,Alpha and Omega,5.4,227,2010-09-17
81,7,"Mar 31, 2017",The Zookeeperâs Wife,"$20,000,000","$17,445,186","$26,308,749",2017-03-31,2017,The Zookeeperâs Wife,The Zookeeper's Wife,0.13636363636363635,20781,"[18, 36]",289222,en,The Zookeeper's Wife,11.645,2017-03-31,The Zookeeper's Wife,7.4,726,2017-03-31
82,52,"Apr 29, 2016",Ratchet and Clank,"$20,000,000","$8,813,410","$14,365,639",2016-04-29,2016,Ratchet and Clank,Ratchet & Clank,0.17647058823529413,17683,"[28, 12, 16, 10751]",234004,en,Ratchet & Clank,8.439,2016-04-29,Ratchet & Clank,5.5,332,2016-04-29
83,85,"Nov 13, 2015",My All-American,"$20,000,000","$2,246,000","$2,246,000",2015-11-13,2015,My All-American,My All American,0.06666666666666667,14707,[18],334531,en,My All American,5.752999999999999,2015-11-13,My All American,7.1,63,2015-11-13
84,85,"Nov 13, 2015",My All-American,"$20,000,000","$2,246,000","$2,246,000",2015-11-13,2015,My All-American,My All American,0.06666666666666667,17977,[18],334531,en,My All American,5.752999999999999,2015-11-13,My All American,7.1,63,2015-11-13
