,title_id,festival1,D3,IMAX,title_idtitle_id,title_x,region_x,language_x,types_x,attributes_x,title_y,studio,domestic_gross,foreign_gross,year,world_gross,tconst_x,primary_title,original_title,start_year,runtime_minutes,genres,Mystery,Drama,Animation,Game-Show,News,Biography,Short,Action,Family,Sport,Crime,War,Horror,Music,Reality-TV,Fantasy,Documentary,Comedy,Western,Thriller,Talk-Show,Musical,Romance,Sci-Fi,Adult,Adventure,History,archive_sound,writer,producer,actress,director,composer,cinematographer,self,editor,production_designer,actor,archive_footage,archive_sound_age,writer_age,producer_age,actress_age,director_age,composer_age,cinematographer_age,self_age,editor_age,production_designer_age,actor_age,archive_footage_age,actor_ordering,actress_ordering,actress_ratio,tconst_y,averagerating,numvotes
2789,tt4466316,0,0,0,tt4466316,1,1,0,0,0,Ceremony,Magn.,22300,,2011,,tt4466316,Ceremony,Ceremony,2015,46,"Adventure,Documentary,Mystery",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,0,0,1,0,1,0,1,0,1,0,,1968,,,,,,,,,,,1,,0,,,
2790,tt4466544,0,0,0,tt4466544,3,6,1,2,0,Fatima,KL,50100,,2016,,tt4466544,Fatima,Fatima,2015,79,"Drama,Family",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,4,1,3,1,0,0,0,0,0,1,0,,,,,1958,,,,,,,,4,2,0.75,tt4466544,6.4,1234
2791,tt4467262,0,0,0,tt4467262,3,3,0,2,0,Katti Batti,UTV,365000,,2015,,tt4467262,Katti Batti,Katti Batti,2015,135,"Comedy,Drama,Romance",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,1,1,1,1,1,1,0,1,0,3,0,,,,1987,1971,,,,,,1979.333333,,2.666666667,2,0.25,tt4467262,4.9,2484
2792,tt4467734,0,0,0,tt4467734,2,1,0,2,0,The Lady,Cohen,355000,3400000,2012,3755000,tt4467734,The Lady,The Lady,2014,,Drama,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,2,1,2,0,0,0,0,2,0,,,,1985.5,1958,,,,,,1978,,2,3,0.5,tt4467734,3,78
2793,tt4468634,0,0,0,tt4468634,11,10,0,3,0,Certain Women,IFC,1100000,,2016,,tt4468634,Certain Women,Certain Women,2016,107,Drama,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,3,3,1,1,0,0,0,0,1,0,,,,1979,,,,,,,1962,,4,2,0.75,tt4468634,6.3,10315
2794,tt4468740,0,0,0,tt4468740,11,20,4,2,2,Paddington 2,WB,40900000,186400000,2018,227300000,tt4468740,Paddington 2,Paddington 2,2017,103,"Adventure,Comedy,Family",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,4,1,1,1,0,0,0,0,0,3,0,,1949.5,1961,1976,,,,,,,1967.666667,,2,4,0.25,tt4468740,7.9,46481
2795,tt4477536,0,0,0,tt4477536,25,29,4,2,1,Fifty Shades Freed,Uni.,100400000,271500000,2018,371900000,tt4477536,Fifty Shades Freed,Fifty Shades Freed,2018,105,"Drama,Romance,Thriller",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,2,3,2,1,0,0,0,0,0,2,0,,1963,1964.333333,1987.5,1953,,,,,,1980.5,,2.5,2.5,0.5,tt4477536,4.5,43893
2796,tt4481414,0,0,0,tt4481414,15,21,2,2,2,Gifted,FoxS,24800000,18200000,2017,43000000,tt4481414,Gifted,Gifted,2017,101,Drama,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,2,3,1,1,1,0,0,0,1,0,,,,1976,1974,1978,1952,,,,1981,,1,3,0.75,tt4481414,7.6,82426
2797,tt4481514,0,0,0,tt4481514,20,21,4,2,0,The House,WB (NL),25600000,8600000,2017,34200000,tt4481514,The House,The House,2017,88,"Comedy,Crime",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,4,2,1,0,0,0,0,0,2,0,,,1968,1984.5,,,,,,,1969.5,,2.5,2.5,0.5,tt4481514,5.6,33365
2798,tt4483460,0,0,0,tt4483460,5,8,2,2,0,Argentina,FRun,14900,,2016,,tt4483460,Argentina,Zonda: folclore argentino,2015,85,"Documentary,Musical",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,4,1,1,0,1,0,0,0,3,0,,,1968.5,1944,1932,,1938,,,,1959,,2.333333333,3,0.25,tt4483460,6.7,146
