,t1,t2,score
1148469,Girls Gone Dead,God's Not Dead,0.4
1231021,The Signal,The Swan,0.4
370848,Lost River,Wind River,0.4
113599,The Timber,The Fencer,0.4
1095667,The Prince,The Tree,0.4
1163932,The Ridges,The Raid 2,0.4
400708,Crossroads,Grassroots,0.4
331153,The Reef,The Fencer,0.4
546604,RED 2,Red 2,0.4
1500573,Burn,Muran,0.4
516241,The Bronze,The Tree,0.4
90834,Happy 40th,Happy End,0.4
1622187,The Final Girls,The Wind Rises,0.4
1094707,The Prince,The Choice,0.4
255683,The Family,The Way,0.4
1163545,The Ridges,The Robber,0.4
255710,The Family,The Lady,0.4
1094541,The Prince,The Wife,0.4
1094431,The Prince,The Office,0.4
634015,Heist,Beast,0.4
1612918,The Walking Deceased,The Warring States,0.4
53394,Death at a Funeral,Death of a Superhero,0.4
129982,The Love Letter,The Face Reader,0.4
680008,Running Forever,Klown Forever,0.4
678854,Running Forever,Spring Fever,0.4
113443,The Timber,The Tree,0.4
1163469,The Ridges,The Wife,0.4
106633,The Iceman,The Swan,0.4
186750,Airlift (2016),The Gift (2015),0.4
148612,Hits,CHiPs,0.4
607686,Love Ranch,Lovelace,0.4
1102183,Drunk Wedding,Jenny's Wedding,0.4
1493197,The Thing,The Choice,0.4
1095823,The Prince,The Fencer,0.4
131555,The 5th Quarter,The Charmer,0.4
329947,The Reef,The Robber,0.4
130725,The Love Letter,The Forecaster,0.4
535531,The Dirties,The Guillotines,0.4
1632597,The Host,The Insult,0.4
344086,The Maid's Room,The Blue Room,0.4
223453,The Frozen,The Fencer,0.4
129883,The Love Letter,The Love Punch,0.4
223583,The Frozen,The Phone,0.4
1005930,The Lovers,The Loft,0.4
756969,The Divide,The Tribe,0.4
1323471,The Circle,The Tribe,0.4
1450233,Bending Steel,Bending the Arc,0.4
898351,Against the Wild,The Map Against the World,0.4
1818451,The Kick,The Choice,0.4
215175,The Bounce Back,The Way Back,0.4
1322865,The Circle,The Wife,0.4
1702322,The Sound and the Shadow,The Lovers and the Despot,0.4
1863685,The Crow,The Choice,0.4
252680,Two Lovers and a Bear,The Lovers and the Despot,0.4
1865282,The Crow,The Hallow,0.4
756253,The Divide,The Office,0.4
756363,The Divide,The Wife,0.4
756529,The Divide,The Choice,0.4
254700,The Family,The Bay,0.4
756666,The Divide,The Rider,0.4
946345,Test,Beast,0.4
1322646,The Circle,The Mercy,0.4
254334,The Family,The Day,0.4
1818175,The Kick,The Office,0.4
1006303,The Lovers,The Robber,0.4
1322961,The Circle,The Lure,0.4
1006530,The Lovers,The Rider,0.4
223118,The Frozen,The Prison,0.4
1323031,The Circle,The Choice,0.4
1006323,The Lovers,The Lure,0.4
1323410,The Circle,The Whale,0.4
1007807,The Lovers,The Wave,0.4
757311,The Divide,The Double,0.4
1323813,The Circle,The Double,0.4
757383,The Divide,The Divine Move,0.4
854436,The Predator,The Grandmaster,0.4
1356326,Wild Card,Wild Tales,0.4
757819,The Divide,The Void,0.4
1007827,The Lovers,The Carer,0.4
853566,The Predator,The Protector 2,0.4
1355206,Wild Card,Wild Grass,0.4
53933,Black Rock,Black Sea,0.4
222777,The Frozen,The Tribe,0.4
1323991,The Circle,The Tree,0.4
97423,No Good Deed,As Good as Dead,0.4
1625456,The Living Wake,The Green Wave,0.4
223297,The Frozen,The Tree,0.4
113917,The Timber,The Carer,0.4
1324465,The Circle,The Carer,0.4
757943,The Divide,The Wave,0.4
1618443,The Lego Batman Movie,The LEGO Ninjago Movie,0.4090909090909091
175509,The Lego Ninjago Movie,The LEGO Batman Movie,0.4090909090909091
663373,The Rise of the Krays,The Mill and the Cross,0.4090909090909091
694377,The Lego Movie,The LEGO Ninjago Movie,0.4090909090909091
1537687,How to Fall in Love,How Long Will I Love U,0.4090909090909091
99254,The Face of an Angel,The Sense of an Ending,0.4090909090909091
1496115,Into the Storm,Maps to the Stars,0.4117647058823529
800173,Concussion,Concussion (2015),0.4117647058823529
