,t1,t2,score
10723795,Looking for Eric,Looking for Eimish,0.2222222222222222
10746862,Looking for Eric,Looking for Simon,0.29411764705882354
10766147,Carnage (2011),Carnage Park,0.42857142857142855
11029468,Beloved (2012),Beloved Sky,0.42857142857142855
11078377,Beloved (2012),Beloved Beast,0.42857142857142855
11231407,Beloved (2012),Beloved Days,0.42857142857142855
11416563,Yu-Gi-Oh! The Dark Side of Dimensions,Yu-Gi-Oh! El Lado Oscuro de las Dimensiones,0.3953488372093023
11480862,Yu-Gi-Oh! The Dark Side of Dimensions,Yu-Gi-Oh!: The Dark Side of Dimensions,0.02631578947368421
11789177,Mesrine: Killer Instinct,Foresight Killer Instinct,0.28
11902340,Mesrine: Killer Instinct,Killer Instinct,0.375
12258271,Tales from Earthsea,Fall from Paradise,0.42105263157894735
12279295,Tales from Earthsea,Tales from the Crib,0.42105263157894735
12442077,Tales from Earthsea,Tales from the G20,0.42105263157894735
12461764,Tales from Earthsea,Tales from Kars,0.2631578947368421
12472526,Tales from Earthsea,Dark Tales from Paradise,0.4166666666666667
12482954,Tales from Earthsea,Escape from Earth,0.42105263157894735
12514063,REC 4: Apocalypse,Day of the Apocalypse,0.42857142857142855
12520094,REC 4: Apocalypse,X-Men: Apocalipsa,0.4117647058823529
12520791,REC 4: Apocalypse,Yakuza Apocalypse,0.35294117647058826
12527297,REC 4: Apocalypse,Jack's Apocalypse,0.35294117647058826
12527705,REC 4: Apocalypse,Angels Apocalypse,0.35294117647058826
12528836,REC 4: Apocalypse,Dragon Apocalypse,0.35294117647058826
12529853,REC 4: Apocalypse,Anna e o Apocalipse,0.42105263157894735
12543415,REC 4: Apocalypse,[Rec] 4: Apocalypse,0.21052631578947367
12546356,REC 4: Apocalypse,[REC] 4: Apokalipsa,0.2631578947368421
12552148,REC 4: Apocalypse,April Apocalypse,0.35294117647058826
12552835,REC 4: Apocalypse,LA Apocalypse,0.35294117647058826
12558590,REC 4: Apocalypse,X-Men: Apocalisse,0.4117647058823529
12564247,REC 4: Apocalypse,Ratpocalypse,0.4117647058823529
12564317,REC 4: Apocalypse,Undead Apocalypse,0.35294117647058826
12574475,REC 4: Apocalypse,X-Men: Apokalypsa,0.4117647058823529
12580974,REC 4: Apocalypse,CinemApocalypse,0.35294117647058826
12581425,REC 4: Apocalypse,Rec 4: Apocalypse,0.11764705882352941
12591482,REC 4: Apocalypse,O Apocalipse,0.4117647058823529
12592744,REC 4: Apocalypse,Fucker Apocalypse,0.35294117647058826
12605358,REC 4: Apocalypse,Starship: Apocalypse,0.4
12607080,REC 4: Apocalypse,Battle Apocalypse,0.35294117647058826
12612647,REC 4: Apocalypse,X-Men: apocalypsa,0.4117647058823529
12614744,REC 4: Apocalypse,Lost In Apocalypse,0.3333333333333333
12628524,REC 4: Apocalypse,[REC] 4: Apocalipsis,0.25
12631172,REC 4: Apocalypse,Ninja Apocalypse,0.35294117647058826
12631656,REC 4: Apocalypse,Rec 4: Apokalipsa,0.29411764705882354
12635468,REC 4: Apocalypse,[REC]4 Apocalipse,0.23529411764705882
12635561,REC 4: Apocalypse,After the Apocalypse,0.4
12638003,REC 4: Apocalypse,Jogos do Apocalipse,0.42105263157894735
12639156,REC 4: Apocalypse,Atomic Apocalypse,0.35294117647058826
12639979,REC 4: Apocalypse,Nazi Apocalypse,0.35294117647058826
12640375,REC 4: Apocalypse,Mars apocalypse,0.4117647058823529
12642218,REC 4: Apocalypse,Mission Apocalypse,0.3888888888888889
12644817,REC 4: Apocalypse,Voodoo Apocalypse,0.35294117647058826
12654812,REC 4: Apocalypse,Happy Apocalypse!,0.4117647058823529
12657495,REC 4: Apocalypse,Deadman Apocalypse,0.3888888888888889
12662774,REC 4: Apocalypse,Toxic Apocalypse,0.35294117647058826
12662900,REC 4: Apocalypse,[REC] Apocalypse,0.23529411764705882
12665714,REC 4: Apocalypse,Ziua Z: Apocalipsa,0.3888888888888889
12680118,REC 4: Apocalypse,[REC] 4 - Apocalipsis,0.3333333333333333
12681123,REC 4: Apocalypse,Lazarus: Apocalypse,0.3684210526315789
12690607,REC 4: Apocalypse,[REC] 4: Apocalipse,0.15789473684210525
12697160,REC 4: Apocalypse,Cool Apocalypse,0.29411764705882354
12700308,REC 4: Apocalypse,The Apocalypse,0.35294117647058826
12714563,REC 4: Apocalypse,Twister Apocalypse,0.3888888888888889
12720257,REC 4: Apocalypse,Apocalypse,0.4117647058823529
12720563,REC 4: Apocalypse,Frozen apocalypse,0.4117647058823529
12721073,REC 4: Apocalypse,Music & Apocalypse,0.3888888888888889
12739929,REC 4: Apocalypse,Zombie Apocalypse,0.35294117647058826
12741242,REC 4: Apocalypse,[REC] 4: Apocalypse,0.10526315789473684
12741934,REC 4: Apocalypse,Zombie Apocalypse 2,0.42105263157894735
12746971,REC 4: Apocalypse,X-Men: Apocalipse,0.35294117647058826
12768897,Redemption (2013),Redemption Night,0.35294117647058826
12796001,Redemption (2013),Redemption Blues,0.35294117647058826
12805073,Redemption (2013),Redemption Way,0.35294117647058826
12806077,Redemption (2013),Redemption Boys,0.35294117647058826
12822090,Redemption (2013),Redemption of a Dog,0.42105263157894735
12881555,Redemption (2013),Redemption Song,0.35294117647058826
12887681,Redemption (2013),Redemption Street,0.35294117647058826
12913095,Redemption (2013),Redemption,0.4117647058823529
12921466,Redemption (2013),Redemption Road,0.35294117647058826
12956319,Redemption (2013),Redemption City,0.35294117647058826
12984969,Redemption (2013),Redemption Trail,0.35294117647058826
12989480,Redemption (2013),Redemption Ride,0.35294117647058826
13536772,[Rec] 2,[Rec]³,0.2857142857142857
13774171,Waking Sleeping Beauty,The Limit of Sleeping Beauty,0.39285714285714285
13801559,Waking Sleeping Beauty,The Curse of Sleeping Beauty,0.42857142857142855
13885786,Waking Sleeping Beauty,Sleeping Beauty,0.3181818181818182
13908912,Waking Sleeping Beauty,The Sleeping Bear,0.4090909090909091
13955040,Waking Sleeping Beauty,The Sleeping Beauties,0.4090909090909091
14005047,The To-Do List,The Motel Life,0.42857142857142855
14009428,The To-Do List,The Unionist,0.42857142857142855
14011671,The To-Do List,The Honor List,0.2857142857142857
14012917,The To-Do List,The Sex List,0.35714285714285715
14022504,The To-Do List,The Hit List,0.35714285714285715
14037856,The To-Do List,The Novelist,0.42857142857142855
14047314,The To-Do List,The Tattooist,0.35714285714285715
14054561,The To-Do List,The Conformist,0.35714285714285715
14055843,The To-Do List,The Rescue List,0.4
